objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Advance to Boardwalk","334","6.8","4","0","0","0","1","0","0","1","0","1","4","","","","","","56851306","5.46733","5.42863","1.5342","28409","2119","thing","Advance to Boardwalk","2","4","60","60","60","1985","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","7.98","USD","","","2019-05-04","Barnes & Noble","1","","Sold","2019-05-04","","","",""
"Adventure Land","183231","7.5","1","0","0","0","1","1","0","0","0","1","3","","","","","","103051927","6.27199","6.89214","1.8182","1908","4966","thing","Adventure Land","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Adventure Mart","280566","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","77638137","5.63708","6.63864","2.6667","7629","927","thing","Adventure Mart","2","4","60","60","45","2020","2,3,4","3","10","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"AEOLOS","366756","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","99913334","5.60746","7.06143","2.0909","8751","311","thing","AEOLOS","2","4","60","60","60","2022","2,3,4","2,3","10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End","191189","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","102795369","7.5879","7.87259","2.8049","100","33690","thing","Aeon's End","1","4","60","60","60","2016","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeroplanes: Aviation Ascendant","119337","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","69902897","5.77484","6.57212","2.925","4964","1326","thing","Aeroplanes: Aviation Ascendant","3","5","120","120","120","2012","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"After the Empire","200511","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","80228323","6.3636","7.43576","3.1304","1635","3565","thing","After the Empire","2","4","120","120","60","2021","1,2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"After Us","369548","6.3","3","0","0","0","0","0","1","0","0","1","3","","","","","","98219816","6.20284","6.80414","2.0361","2164","3458","thing","After Us","1","6","60","60","40","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aftershock: San Francisco & Venice","266538","4.8","1","0","0","0","0","0","0","1","0","0","3","#large","","","","","69590525","5.57338","6.52991","2.6667","10712","550","thing","Aftershock: San Francisco & Venice","2","5","60","60","60","2019","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","16.48","USD","","","2022-10-29","Night Owl Games","1","Bundle sold 55 black and read gift card","","2022-10-29","","","",""
"Age of Civilization","264647","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","111619733","6.33721","7.02745","2.3061","1710","6201","thing","Age of Civilization","1","4","60","60","30","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Comics: The Golden Years","349963","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","114736973","6.05895","7.34061","2.5682","2784","2380","thing","Age of Comics: The Golden Years","1","4","120","120","50","2023","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Steam","4098","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","120340714","7.48885","7.86605","3.8592","137","13770","thing","Age of Steam","1","6","120","120","120","2002","3,4,5,6","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Steam Expansion: Poland","74681","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","120340343","5.53984","7.47872","3","0","184","thing","Age of Steam Expansion: Poland","0","0","0","0","0","2010","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Age of War","28086","7","2","0","0","0","1","1","0","1","0","1","3","","","","","","93176718","6.21054","6.4397","1.1626","2141","14131","thing","Age of War","2","6","20","20","20","2006","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","5","USD","","","2022-04-16","Facebook Marketplace","1","","","2022-04-16","","","",""
"Agent Avenue","422732","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","123623446","6.62286","7.6034","1.2716","1024","5501","thing","Agent Avenue","2","4","20","20","10","2024","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Agility","179933","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","68378859","5.81729","6.94566","2.0833","4465","1303","thing","Agility","2","2","45","45","30","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Agony Aunt","415690","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","118471003","0","10","0","0","1","thing","Agony Aunt","3","8","45","45","45","2013","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Agree to Disagree","388659","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","108204701","5.515","6.14545","1.5","20230","154","thing","Agree to Disagree","2","8","25","25","10","2024","2,3,4,5,6,7,8","2,3,5,6,7,8","6–10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola (Revised Edition)","200680","0","0","4","0","0","0","0","1","0","0","0","1","#large","Worker Placement","","","","73318275","7.64738","7.95564","3.4441","84","28063","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","5","USD","","","2020-08-01","Facebook Marketplace","1","","","2020-08-04","","","",""
"Agricola: All Creatures Big and Small","119890","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79545980","7.04985","7.32753","2.3487","437","20565","thing","Agricola: All Creatures Big and Small","2","2","30","30","30","2012","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: Family Edition","205418","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","63429919","6.36976","7.04276","2.3978","1615","6760","thing","Agricola: Family Edition","1","4","45","45","45","2016","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","17.54","USD","","","2019-08-20","Walmart","1","","Returned","2019-08-23","","","",""
"Agropolis","314088","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125285604","6.4592","7.26723","1.7536","1385","8925","thing","Agropolis","1","4","20","20","15","2021","1,2","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Águeda: City of Umbrellas","317515","6.3","1","0","0","0","1","1","0","0","0","1","4","","","","","","108591473","5.709","6.90805","1.5833","5930","1033","thing","Águeda: City of Umbrellas","1","5","40","40","20","2024","2,3,4,5","3,4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ahead in the Clouds","207796","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","79186344","5.53499","6.08","1.8","15082","900","thing","Ahead in the Clouds","2","2","30","30","30","2017","2","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ahoy","359402","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","95642695","6.47442","7.28936","2.8738","1344","6899","thing","Ahoy","2","4","75","75","45","2022","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"AI Space Puzzle","383064","0","1","0","0","0","0","0","1","0","0","1","4","","","","","","121201050","5.77801","7.13792","2","4930","1082","thing","AI Space Puzzle","2","5","30","30","30","2023","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"AI: 100% Human","416086","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","123169994","5.70092","7.19318","2.4286","6083","539","thing","AI: 100% Human","1","6","45","45","30","2024","1,3,4,5,6","1,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Air Mail","359234","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","104190472","5.60787","6.89854","2.4","8733","520","thing","Air Mail","2","5","75","75","30","2022","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Air, Land, & Sea","247367","5","1","0","0","0","0","0","1","0","1","0","1","","Cards","","","","59127538","7.07335","7.45479","1.7247","414","20061","thing","Air, Land, & Sea","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"AIRFLIP","361921","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","100539930","0","6.61333","0","0","116","thing","AIRFLIP","1","100","45","45","30","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Airlines Europe","90419","7","1","0","0","0","1","1","0","0","0","1","3","","","","","","53800807","6.86812","7.29789","2.4325","649","8367","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Airship City","256442","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","80547062","5.7715","6.86008","3.1818","5015","1776","thing","Airship City","3","4","120","120","75","2018","3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Àiyé","322626","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","124742149","5.61817","7.1148","2.375","8281","325","thing","Àiyé","2","4","60","60","30","2023","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Akropolis","357563","7.5","15","3","1","0","0","0","0","0","0","0","2","#large","","","","","94342096","7.03602","7.45367","1.8062","451","13500","thing","Akropolis","1","4","30","30","20","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","3421273360917","32.66","USD","","","2023-01-24","Amazon","1","","","2023-01-26","","","",""
"Akropolis: Athena","422822","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","122893390","5.80611","7.75354","2.4286","0","1980","thing","Akropolis: Athena","1","4","25","25","25","2024","2,3,4","3,4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Akrotiri","154458","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","89507624","6.61249","7.15832","2.6443","1048","8121","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aladdin's Dragons","492","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","71357557","6.29806","6.88389","2.3596","1822","4107","thing","Aladdin's Dragons","3","5","90","90","60","2000","3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Alakablast","344958","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","101082657","5.52189","6.01352","1.4","18194","202","thing","Alakablast","2","5","35","35","15","2022","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aldabas: Doors of Cartagena","299604","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","94342111","5.56515","6.60854","2.1667","11368","605","thing","Aldabas: Doors of Cartagena","1","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aldebaran Duel","383175","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","114156713","5.63185","7.05024","2.75","7790","441","thing","Aldebaran Duel","1","2","90","90","60","2023","1,2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Alebrijes","438736","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132992054","0","6.89474","0","0","23","thing","Alebrijes","3","5","25","25","15","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
